Probe ID,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,Previously Seen,Small Molecule,Proportion of Effect Attenuation (compared to current vs. never smokers),Sign
cg06607384,II,14,"91,579,859",F,C14orf159,-0.0023,0.0008,-2.90,3.8E-03,3.4E-02,0,0,74.1%,---+---------+--
cg13951311,II,9,"139,499,374",F,,-0.0017,0.0006,-2.90,3.8E-03,3.4E-02,0,0,56.4%,---------+--+--+
cg05022105,II,11,"32,460,980",R,WIT1,-0.0027,0.0009,-2.90,3.8E-03,3.4E-02,0,0,48.9%,-+------+---++--
cg13388830,II,10,"103,910,870",F,NOLC1,-0.0018,0.0006,-2.90,3.8E-03,3.4E-02,0,0,71.0%,-+-+-+-+----+---
cg23186333,II,11,"35,161,900",R,CD44,-0.0066,0.0023,-2.90,3.8E-03,3.4E-02,0,0,66.0%,-?-????-----?-+?
cg09274826,II,1,"156,718,357",R,HDGF,-0.0010,0.0003,-2.90,3.8E-03,3.4E-02,1,0,61.0%,---+----+--+--+-
cg08669010,II,11,"63,676,370",F,MARK2,-0.0013,0.0005,-2.89,3.8E-03,3.4E-02,0,0,59.2%,--+---+----+---+
cg16021126,II,13,"44,947,611",R,SERP2,-0.0020,0.0007,-2.89,3.8E-03,3.4E-02,0,0,55.8%,--+------+-+----
cg25773386,II,3,"51,989,369",F,GPR62,0.0013,0.0004,2.89,3.8E-03,3.4E-02,0,0,80.2%,+++++-++++--++-+
cg03242028,II,9,"35,754,421",R,MSMP,-0.0015,0.0005,-2.89,3.8E-03,3.4E-02,0,0,75.4%,------------+-++
cg03589230,II,8,"1,992,099",R,MYOM2,0.0024,0.0008,2.89,3.8E-03,3.4E-02,0,0,62.6%,+++-+++-++--+++-
cg05458220,II,18,"77,866,647",F,ADNP2,0.0024,0.0008,2.89,3.8E-03,3.4E-02,0,0,64.9%,++-++----++--+++
cg06889607,II,14,"67,826,009",R,EIF2S1;ATP6V1D,-0.0016,0.0006,-2.89,3.8E-03,3.4E-02,0,0,46.9%,--++----+---+---
cg24541193,II,1,"169,433,715",R,SLC19A2,0.0036,0.0012,2.89,3.8E-03,3.4E-02,0,0,60.9%,++++-++++++-++++
cg07652628,II,12,"53,343,514",F,KRT18,-0.0039,0.0014,-2.89,3.8E-03,3.4E-02,0,0,42.6%,--+--------++--+
cg13877574,II,11,"1,756,109",F,HCCA2;LOC402778,0.0017,0.0006,2.89,3.8E-03,3.4E-02,1,0,61.2%,+++-+-+-++-+++++
cg01502872,I,6,"33,173,119",F,HSD17B8,-0.0020,0.0007,-2.89,3.8E-03,3.4E-02,0,0,69.5%,-+-+---------++-
cg11872645,II,17,"75,186,962",F,SEC14L1,0.0019,0.0007,2.89,3.8E-03,3.4E-02,0,0,53.3%,+++-+-+-+++?+-++
cg13700939,I,2,"128,166,166",R,,-0.0020,0.0007,-2.89,3.8E-03,3.4E-02,0,0,43.8%,--------+---+++-
cg26675329,II,2,"103,033,753",F,IL18RAP,0.0023,0.0008,2.89,3.8E-03,3.4E-02,0,0,70.1%,++-+++++++-+-+-+
cg27423445,II,12,"12,879,764",R,APOLD1,-0.0038,0.0013,-2.89,3.9E-03,3.4E-02,0,0,68.9%,---+-+-+--------
cg15518113,II,1,"167,400,121",R,CD247,0.0020,0.0007,2.89,3.9E-03,3.4E-02,0,0,74.5%,+++-++-++++?+++-
cg06520846,II,1,"42,921,582",R,PPCS;ZMYND12,-0.0033,0.0011,-2.89,3.9E-03,3.4E-02,0,0,30.8%,--+---+-+------+
cg24064903,II,5,"404,910",F,AHRR;LOC100310782,0.0009,0.0003,2.89,3.9E-03,3.4E-02,1,0,68.6%,+++--+-+-++++-++
cg17211562,I,2,"11,886,253",R,LPIN1,-0.0030,0.0010,-2.89,3.9E-03,3.4E-02,0,0,65.0%,-++---+++--+--+-
cg00730373,II,16,"89,050,488",R,,-0.0032,0.0011,-2.89,3.9E-03,3.4E-02,0,0,51.1%,--+-------++---+
cg07954423,II,9,"130,741,881",F,FAM102A,-0.0021,0.0007,-2.89,3.9E-03,3.4E-02,1,0,84.2%,--+-?----+-?-+-+
cg12741639,II,22,"37,678,728",F,CYTH4,-0.0036,0.0013,-2.89,3.9E-03,3.4E-02,1,0,75.0%,----+----+--+--+
cg08505243,II,6,"32,116,112",F,,0.0028,0.0010,2.89,3.9E-03,3.4E-02,0,0,58.8%,+-+++-+-++++++++
cg27375378,I,17,"77,806,402",R,,-0.0029,0.0010,-2.88,3.9E-03,3.4E-02,0,0,74.0%,-++-----+---++-+
cg14794655,II,2,"54,558,352",R,C2orf73,-0.0023,0.0008,-2.88,3.9E-03,3.4E-02,0,0,66.2%,--+---++---+--++
cg11556164,II,7,"110,738,315",R,LRRN3;IMMP2L,-0.0051,0.0018,-2.88,3.9E-03,3.4E-02,1,0,72.9%,--+--??+-------+
cg02555807,II,15,"40,615,100",R,,-0.0022,0.0008,-2.88,3.9E-03,3.4E-02,0,0,70.1%,---+-----+---+++
cg11705651,II,21,"46,220,932",F,UBE2G2,-0.0028,0.0010,-2.88,3.9E-03,3.4E-02,0,0,63.7%,---------+--++-+
cg22004069,II,19,"5,585,648",F,,0.0016,0.0006,2.88,3.9E-03,3.5E-02,0,0,69.7%,++++-++-++++++++
cg24867302,II,4,"55,534,703",F,KIT,0.0023,0.0008,2.88,3.9E-03,3.5E-02,0,0,63.2%,+++++-++++-++++-
cg08506869,II,8,"48,572,447",R,KIAA0146,-0.0042,0.0015,-2.88,3.9E-03,3.5E-02,1,0,61.4%,-------+-+--++-+
cg25001102,I,1,"221,068,935",R,,-0.0014,0.0005,-2.88,4.0E-03,3.5E-02,0,0,54.9%,-+-+-----+-+----
cg22881435,II,8,"37,732,086",F,RAB11FIP1,0.0022,0.0008,2.88,4.0E-03,3.5E-02,0,0,68.8%,+++++++++++-+-+-
cg14024579,II,9,"139,332,845",R,INPP5E,-0.0024,0.0008,-2.88,4.0E-03,3.5E-02,0,0,78.0%,------------++-+
cg00761125,II,12,"96,590,115",R,ELK3,-0.0026,0.0009,-2.88,4.0E-03,3.5E-02,0,0,76.7%,-----??---+--+--
cg22563987,I,17,"76,130,496",F,TMC8,0.0019,0.0007,2.88,4.0E-03,3.5E-02,0,0,52.5%,+++-+++++++-++++
cg06155229,I,7,"102,937,535",R,PMPCB,-0.0043,0.0015,-2.88,4.0E-03,3.5E-02,0,0,47.2%,-+-+--------++--
cg20475082,II,2,"129,166,686",R,,-0.0033,0.0011,-2.88,4.0E-03,3.5E-02,0,0,56.0%,-+---+-++-------
cg16006965,II,3,"111,852,325",F,GCET2,-0.0041,0.0014,-2.88,4.0E-03,3.5E-02,0,0,71.8%,----?----+--++-+
cg26614073,II,3,"47,517,819",R,SCAP,-0.0027,0.0009,-2.88,4.0E-03,3.5E-02,0,0,56.7%,---+-+-----?+-+-
cg01435401,II,17,"263,615",F,C17orf97,-0.0010,0.0004,-2.88,4.0E-03,3.5E-02,0,0,44.3%,--------++-?-++-
cg01973394,II,15,"82,335,947",R,MEX3B,-0.0019,0.0007,-2.88,4.0E-03,3.5E-02,0,0,48.5%,--+--+---+------
cg21505886,II,4,"1,724,428",F,TMEM129;TACC3,-0.0018,0.0006,-2.88,4.0E-03,3.5E-02,0,0,77.6%,-+---------++-++
cg07257768,II,6,"30,684,736",F,MDC1,-0.0036,0.0012,-2.88,4.0E-03,3.5E-02,0,0,60.1%,--------++--++--
cg06706159,I,19,"18,260,350",R,MAST3,0.0030,0.0011,2.88,4.0E-03,3.5E-02,0,0,75.8%,+++++++++++++-++
cg26058502,II,1,"150,946,023",F,LASS2,-0.0023,0.0008,-2.88,4.0E-03,3.5E-02,0,0,71.3%,--------+--++---
cg21855211,II,2,"242,805,838",R,,-0.0043,0.0015,-2.87,4.0E-03,3.5E-02,0,0,35.1%,---+----+++-----
cg22907189,II,5,"172,430,563",F,ATP6V0E1,0.0017,0.0006,2.87,4.0E-03,3.5E-02,0,0,58.9%,+++++-+-++--++++
cg11279294,II,5,"132,759,792",F,FSTL4,-0.0015,0.0005,-2.87,4.0E-03,3.5E-02,0,0,71.3%,---+----+---+-++
cg06478823,II,16,"20,774,873",R,ACSM3,0.0022,0.0008,2.87,4.0E-03,3.5E-02,0,0,71.3%,+++++-+--++-+++-
cg22670759,II,3,"50,487,955",F,CACNA2D2,0.0027,0.0009,2.87,4.0E-03,3.5E-02,0,0,73.5%,++-++-++++++-+++
cg05376219,II,19,"2,346,279",F,SPPL2B,0.0019,0.0007,2.87,4.1E-03,3.5E-02,0,0,44.1%,+++-+-++++++++++
cg03292675,II,8,"21,912,864",R,EPB49,-0.0030,0.0010,-2.87,4.1E-03,3.5E-02,1,0,81.4%,-++------+-?----
cg23360111,II,14,"75,828,696",F,,0.0026,0.0009,2.87,4.1E-03,3.5E-02,0,0,55.5%,++-++++-+++-+-++
cg12699187,II,21,"15,354,157",F,C21orf81,0.0020,0.0007,2.87,4.1E-03,3.5E-02,0,0,38.8%,++++-++++++?+-+-
cg00549219,II,5,"177,370,476",R,,-0.0020,0.0007,-2.87,4.1E-03,3.5E-02,0,0,76.9%,--------+--+-+++
cg08006956,II,19,"18,418,056",R,LSM4,-0.0027,0.0009,-2.87,4.1E-03,3.5E-02,0,0,72.6%,----?+----+?----
cg22147446,II,20,"4,879,261",R,SLC23A2,0.0023,0.0008,2.87,4.1E-03,3.5E-02,1,0,37.9%,+++++-+++++-++-+
cg01500140,II,19,"51,890,586",F,LIM2,0.0016,0.0006,2.87,4.1E-03,3.5E-02,1,0,82.4%,+++-+++++++++--+
cg14917706,II,8,"27,751,531",F,SCARA5,0.0023,0.0008,2.87,4.1E-03,3.5E-02,0,0,66.2%,+++++-++++-+++++
cg00401753,II,5,"405,986",R,AHRR;LOC100310782,0.0010,0.0004,2.87,4.1E-03,3.5E-02,1,0,57.6%,+++++++-+++-++++
cg24620905,II,1,"149,908,781",F,MTMR11,-0.0018,0.0006,-2.87,4.1E-03,3.5E-02,0,0,44.9%,----------------
cg20308351,II,7,"3,067,980",R,CARD11,-0.0031,0.0011,-2.87,4.1E-03,3.5E-02,1,0,65.2%,---++----+-+-+-+
cg17362247,II,19,"39,788,647",R,IL29,0.0024,0.0008,2.87,4.1E-03,3.5E-02,0,0,72.2%,+++++-+++++++++-
cg01987516,II,10,"101,282,726",R,,-0.0042,0.0015,-2.87,4.1E-03,3.6E-02,0,0,56.6%,-----------++---
cg09265392,I,16,"49,910,216",R,,-0.0023,0.0008,-2.87,4.1E-03,3.6E-02,0,0,73.9%,--+--+---+-+----
cg11147193,II,2,"10,442,040",R,HPCAL1,-0.0025,0.0009,-2.87,4.1E-03,3.6E-02,0,0,57.4%,--+---+++---+-+-
cg21825792,II,12,"5,015,078",R,,0.0037,0.0013,2.87,4.1E-03,3.6E-02,0,0,59.8%,++-++--++++++-+-
cg03681341,I,6,"100,037,448",F,,-0.0006,0.0002,-2.87,4.1E-03,3.6E-02,0,0,40.8%,-++--------+-+--
cg08667275,II,11,"119,209,304",R,,-0.0026,0.0009,-2.87,4.1E-03,3.6E-02,0,0,63.9%,---+-+-----++---
cg18222500,I,17,"143,285",R,RPH3AL,0.0028,0.0010,2.87,4.1E-03,3.6E-02,1,0,66.4%,++-++++++-+?++++
cg23615483,II,14,"91,866,751",F,CCDC88C,0.0027,0.0009,2.87,4.1E-03,3.6E-02,1,0,45.3%,++-++-+-++-++-++
cg13455960,II,15,"93,617,134",R,RGMA,0.0022,0.0008,2.87,4.1E-03,3.6E-02,0,0,63.1%,+++++-+-++++-++-
cg26996569,II,12,"121,829,743",R,,0.0038,0.0013,2.87,4.2E-03,3.6E-02,0,0,78.9%,++++++++-++-++++
cg01479232,II,20,"748,992",R,C20orf54,-0.0048,0.0017,-2.87,4.2E-03,3.6E-02,0,0,64.7%,-+-+?+-----?----
cg22626858,I,19,"51,220,273",R,SHANK1,0.0018,0.0006,2.87,4.2E-03,3.6E-02,0,0,56.7%,++++++++--++-+++
cg06653632,II,12,"129,281,444",R,SLC15A4,0.0020,0.0007,2.87,4.2E-03,3.6E-02,0,0,75.4%,-++++++++++-++-+
cg07061728,II,17,"1,880,941",F,RTN4RL1,-0.0032,0.0011,-2.86,4.2E-03,3.6E-02,0,0,55.0%,-+---------+----
cg02871659,II,16,"2,014,063",F,SNHG9;SNORA64;SNORA78;RPS2,-0.0050,0.0017,-2.86,4.2E-03,3.6E-02,0,1,65.3%,-+----------+---
cg03184011,II,20,"39,945,503",R,,-0.0019,0.0007,-2.86,4.2E-03,3.6E-02,0,0,65.2%,------------+-+-
cg01200186,II,10,"52,765,418",R,PRKG1,0.0012,0.0004,2.86,4.2E-03,3.6E-02,0,0,41.2%,++-+++-+++++++-+
cg05329578,II,9,"2,241,688",F,,-0.0049,0.0017,-2.86,4.2E-03,3.6E-02,0,0,59.9%,-+-+--------++-+
cg11919694,II,16,"30,380,600",F,TBC1D10B,-0.0021,0.0007,-2.86,4.2E-03,3.6E-02,1,0,48.3%,--------+-+--+-+
cg26105649,II,1,"233,087,709",F,C1orf57,-0.0015,0.0005,-2.86,4.2E-03,3.6E-02,1,0,70.6%,-----------?-+-+
cg05724492,I,16,"979,662",R,LMF1,-0.0024,0.0008,-2.86,4.2E-03,3.6E-02,1,0,69.3%,---+---+---?-+-+
cg09071896,II,2,"235,952,729",F,SH3BP4,-0.0033,0.0011,-2.86,4.2E-03,3.6E-02,1,0,68.8%,-++------+-+-++-
cg00721530,I,15,"89,951,404",F,,-0.0017,0.0006,-2.86,4.2E-03,3.6E-02,0,0,55.5%,--+--------+----
cg08708961,II,1,"227,070,630",R,PSEN2,0.0043,0.0015,2.86,4.2E-03,3.6E-02,1,0,67.3%,++-++++++---++++
cg10975863,II,14,"68,830,704",R,RAD51L1,-0.0031,0.0011,-2.86,0.0042,3.6E-02,1,0,56.0%,-++-----+-------
cg09931909,II,6,"74,160,206",F,C6orf150,-0.0052,0.0018,-2.86,0.0042,3.6E-02,1,0,76.5%,---+-??+---++---
cg15325070,I,1,"2,792,704",R,,0.0032,0.0011,2.86,0.0042,3.6E-02,0,0,57.0%,+++-+-+-++++++--
cg15644764,II,1,"202,592,914",R,SYT2,-0.0026,0.0009,-2.86,0.0043,3.6E-02,1,0,60.4%,--------+--?--+-
cg01447748,II,1,"51,985,259",F,EPS15,-0.0030,0.0010,-2.86,0.0043,3.6E-02,1,0,73.7%,-?-+--+-?---+---
cg06588802,I,2,"8,422,236",F,,0.0027,0.0009,2.86,0.0043,3.6E-02,0,0,60.9%,++-++-++-++++--+
cg03528016,II,2,"73,871,942",F,ALMS1P,0.0021,0.0007,2.86,0.0043,3.6E-02,0,0,73.8%,+++-++-++--?++-+
cg27051129,I,13,"51,417,977",F,DLEU7,-0.0022,0.0008,-2.86,0.0043,3.6E-02,0,0,66.7%,--+--------+--+-
cg27489373,II,16,"1,507,959",F,CLCN7,0.0041,0.0014,2.86,0.0043,3.6E-02,0,0,34.6%,+-++?+++++-?++-+
cg16942327,II,3,"193,967,745",F,,0.0018,0.0006,2.86,0.0043,3.6E-02,0,0,68.5%,++++++-+-++-++++
cg03519967,II,1,"26,010,346",F,MAN1C1,0.0024,0.0008,2.86,0.0043,3.6E-02,1,0,75.7%,-++++-+++++-++++
cg15221579,II,7,"38,298,966",R,,0.0011,0.0004,2.86,0.0043,3.6E-02,0,0,72.5%,+++-++-++++?++-+
cg15223066,II,10,"33,270,717",R,,0.0010,0.0003,2.85,0.0043,3.7E-02,0,0,60.1%,++-+++-+++++++++
cg05249026,II,16,"11,031,524",F,DEXI,0.0019,0.0007,2.85,0.0043,3.7E-02,0,0,41.7%,+++++++-++-+++++
cg02993991,I,19,"4,064,177",F,ZBTB7A,-0.0025,0.0009,-2.85,0.0043,3.7E-02,0,0,67.3%,-+-++---++---+--
cg03131366,II,12,"2,041,707",R,,0.0026,0.0009,2.85,0.0043,3.7E-02,1,0,74.0%,-++-+-++++++++++
cg09026994,II,17,"116,238",R,RPH3AL,0.0024,0.0008,2.85,0.0043,3.7E-02,1,0,49.7%,++++?+++-+-?+-++
cg14696468,II,17,"7,256,577",F,KCTD11,-0.0020,0.0007,-2.85,0.0043,3.7E-02,0,0,20.7%,-?+---+-??+---+-
cg08548559,II,22,"31,686,097",R,PIK3IP1,-0.0032,0.0011,-2.85,0.0044,3.7E-02,1,0,79.8%,---------+----+-
cg11465943,I,11,"60,833,378",F,,-0.0017,0.0006,-2.85,0.0044,3.7E-02,1,0,70.9%,---+-+---+--+---
cg26921513,II,14,"102,424,834",F,,-0.0019,0.0007,-2.85,0.0044,3.7E-02,0,0,63.2%,-+-----++-------
cg22459081,II,8,"142,095,187",R,,-0.0016,0.0006,-2.85,0.0044,3.7E-02,0,0,47.5%,---------+-++-++
cg02068596,II,6,"14,068,147",R,,-0.0035,0.0012,-2.85,0.0044,3.7E-02,0,0,46.6%,-------------+++
cg03815552,II,16,"617,420",F,NHLRC4,-0.0019,0.0007,-2.85,0.0044,3.7E-02,0,0,62.2%,--+---+----++-+-
cg10028348,I,7,"130,794,597",F,MKLN1;FLJ43663,-0.0010,0.0004,-2.85,0.0044,3.7E-02,0,0,64.3%,------+---+----+
cg05701125,I,16,"11,351,106",R,SOCS1,-0.0017,0.0006,-2.85,0.0044,3.7E-02,0,0,59.7%,----------+++--+
cg00375132,II,10,"22,768,370",R,,-0.0022,0.0008,-2.85,0.0044,3.7E-02,0,0,57.7%,--++-+---++-----
cg05844798,II,20,"3,062,344",F,,0.0023,0.0008,2.85,0.0044,3.7E-02,0,0,142.6%,----+++-++++++++
cg02965712,II,1,"77,746,028",R,,0.0016,0.0005,2.85,0.0044,3.7E-02,0,0,73.8%,+++-+-+-+++++-++
cg26079320,II,1,"166,809,407",R,POGK,-0.0011,0.0004,-2.85,0.0044,3.7E-02,0,0,53.9%,---+-+---------+
cg02370832,II,10,"91,093,681",F,IFIT3,-0.0030,0.0010,-2.85,0.0044,3.7E-02,1,0,67.1%,-?---+----------
cg27248887,II,2,"207,025,417",F,EEF1B2;SNORD51;NDUFS1,-0.0024,0.0009,-2.85,0.0044,3.7E-02,1,1,77.5%,----?--+-+-?----
cg22646937,II,5,"169,816,792",F,KCNMB1;KCNIP1,0.0020,0.0007,2.85,0.0044,3.7E-02,0,0,54.3%,++-++++++++++--+
cg19465320,II,17,"40,426,890",R,STAT5B,-0.0015,0.0005,-2.85,0.0044,3.7E-02,0,0,77.4%,-+-+---------++-
cg02968508,II,3,"9,956,698",R,IL17RE,-0.0019,0.0007,-2.85,0.0044,3.7E-02,0,0,78.8%,----------+++--+
cg07719172,II,12,"109,889,431",R,KCTD10,0.0016,0.0006,2.85,0.0044,3.7E-02,0,0,72.3%,++++-+-++++-++-+
cg06981781,II,4,"110,842,888",F,EGF,0.0019,0.0007,2.84,0.0045,3.7E-02,0,0,34.5%,++--++-++++++-++
cg00021275,II,2,"128,142,155",F,,0.0021,0.0007,2.84,0.0045,3.7E-02,0,0,73.2%,+++-+-+-+-+-+++-
cg19851563,I,19,"2,546,844",R,GNG7,-0.0052,0.0018,-2.84,0.0045,3.7E-02,0,0,56.2%,---------++-----
cg12778775,II,22,"44,893,667",F,LDOC1L,-0.0018,0.0006,-2.84,0.0045,3.7E-02,0,0,65.7%,-----+------++++
cg03334072,II,7,"150,435,779",R,GIMAP5,0.0033,0.0011,2.84,0.0045,3.7E-02,0,0,63.6%,++++++--+++-+-++
cg02247430,II,14,"53,258,644",R,GNPNAT1,-0.0023,0.0008,-2.84,0.0045,3.7E-02,0,0,53.9%,---------+++----
cg07362537,II,6,"33,240,820",R,VPS52;RPS18,-0.0029,0.0010,-2.84,0.0045,3.7E-02,1,0,74.8%,--------+-----+-
cg27539046,II,1,"32,451,252",F,,-0.0030,0.0010,-2.84,0.0045,3.7E-02,0,0,73.8%,-+---+--++------
cg02257405,II,5,"131,346,985",R,ACSL6,-0.0023,0.0008,-2.84,0.0045,3.8E-02,1,0,60.6%,--+--+---+-++---
cg14871870,II,12,"22,441,560",F,ST8SIA1,-0.0022,0.0008,-2.84,0.0045,3.8E-02,0,0,41.0%,-+-+-+---------+
cg10629249,II,5,"68,789,822",F,OCLN,-0.0018,0.0006,-2.84,0.0045,3.8E-02,0,0,71.5%,--------------++
cg05925894,II,1,"85,931,301",R,DDAH1,-0.0024,0.0009,-2.84,0.0045,3.8E-02,0,0,63.1%,-------+---++--+
cg05339037,II,19,"13,951,168",R,,-0.0027,0.0010,-2.84,0.0045,3.8E-02,0,0,81.0%,-+--+---++------
cg05508558,II,1,"207,627,372",F,CR2,0.0025,0.0009,2.84,0.0045,3.8E-02,0,0,44.8%,+++++---+++-++++
cg00698126,II,7,"148,959,735",F,ZNF783,-0.0027,0.0009,-2.84,0.0045,3.8E-02,0,0,66.5%,---+?++--+-?---+
cg25503804,I,11,"46,739,832",R,F2,-0.0019,0.0007,-2.84,0.0045,3.8E-02,0,0,81.9%,---+-----+-++++-
cg02101876,II,13,"40,765,110",F,,0.0012,0.0004,2.84,0.0045,3.8E-02,0,0,76.5%,+++++--++++?++--
cg10169462,I,7,"155,079,311",F,,-0.0031,0.0011,-2.84,0.0045,3.8E-02,0,0,67.3%,--+-?-+-----+---
cg26158150,I,8,"10,448,863",R,,-0.0017,0.0006,-2.84,0.0046,3.8E-02,0,0,52.8%,---+-----+-?-+--
cg16377609,II,7,"29,847,171",R,,-0.0025,0.0009,-2.84,0.0046,3.8E-02,0,0,43.7%,--+------+--+-+-
cg05973772,II,4,"154,178,277",R,TRIM2,-0.0030,0.0011,-2.84,0.0046,3.8E-02,0,0,61.2%,---+----+--+-+-+
cg04424621,II,6,"27,101,941",F,HIST1H2BJ,-0.0020,0.0007,-2.83,0.0046,3.8E-02,0,0,78.6%,-----+-----+----
cg04224247,II,X,"9,984,515",F,WWC3,-0.0069,0.0024,-2.83,0.0046,3.8E-02,0,0,67.2%,--+--??-??-+-+-+
cg15948836,II,11,"36,114,126",F,LDLRAD3,0.0038,0.0014,2.83,0.0046,3.8E-02,0,0,63.8%,++-+?-++++-?+++-
cg09322513,II,16,"65,555,681",R,LOC283867,0.0026,0.0009,2.83,0.0046,3.8E-02,0,0,74.4%,++-+--+-+--+++-+
cg08009711,II,21,"43,346,184",F,C2CD2,-0.0021,0.0007,-2.83,0.0046,3.8E-02,0,0,72.8%,-++------+-+-+--
cg09718582,II,2,"240,751,196",F,,-0.0036,0.0013,-2.83,0.0046,3.8E-02,0,0,66.3%,-+-------+-----+
cg11344744,II,2,"97,526,122",R,SEMA4C,-0.0018,0.0006,-2.83,0.0046,3.8E-02,0,0,66.6%,--+-------------
cg00138407,II,3,"47,386,505",R,KLHL18,0.0025,0.0009,2.83,0.0046,3.8E-02,0,0,49.9%,-++-+-+-++++++++
cg26477856,II,12,"56,324,915",F,DGKA,-0.0017,0.0006,-2.83,0.0046,3.8E-02,1,0,82.7%,---+-+---+-----+
cg05473018,II,17,"48,192,247",R,SAMD14,0.0017,0.0006,2.83,0.0046,3.8E-02,1,0,62.1%,+++++--++++-+-++
cg02512902,II,17,"25,799,447",F,KSR1,-0.0027,0.0010,-2.83,0.0046,3.9E-02,1,0,71.2%,-----++--+-----+
cg03683250,II,15,"66,085,298",F,DENND4A,-0.0020,0.0007,-2.83,0.0047,3.9E-02,0,0,57.2%,----?---++------
cg07786995,I,1,"162,114,714",R,NOS1AP,0.0032,0.0011,2.83,0.0047,3.9E-02,1,0,27.3%,+++++++++++-+++-
cg01340163,II,4,"55,990,582",F,KDR,0.0023,0.0008,2.83,0.0047,3.9E-02,0,0,54.4%,++++++--++++++++
cg22006825,II,19,"41,771,771",F,HNRNPUL1,-0.0018,0.0006,-2.83,0.0047,3.9E-02,1,0,74.6%,---+----+--++++-
cg26003909,I,8,"143,102,224",R,,0.0025,0.0009,2.83,0.0047,3.9E-02,0,0,50.7%,+++-++--+++++--+
cg07167594,II,22,"19,010,468",R,DGCR10,0.0020,0.0007,2.83,0.0047,3.9E-02,0,0,69.4%,++-+-+++-+++++++
cg18576206,II,22,"44,392,384",F,SAMM50,0.0027,0.0010,2.83,0.0047,3.9E-02,0,0,53.6%,-+++++++-++-+-++
cg09075968,II,13,"113,841,799",F,PCID2,0.0016,0.0006,2.83,0.0047,3.9E-02,0,0,45.4%,++++++-+++-+++-+
cg21387281,II,20,"61,435,439",F,OGFR,0.0026,0.0009,2.83,0.0047,3.9E-02,0,0,62.0%,++++++++++--++++
cg10453071,II,16,"57,513,414",R,DOK4,0.0029,0.0010,2.83,0.0047,3.9E-02,1,0,75.9%,+++++-++++--++-+
cg08861404,II,19,"51,670,315",R,SIGLECP3,0.0018,0.0006,2.83,0.0047,3.9E-02,0,0,65.9%,++-++--++++-++-+
cg23581793,II,14,"95,999,775",F,SNHG10;SCARNA13,-0.0042,0.0015,-2.83,0.0047,3.9E-02,0,0,71.5%,-+--???-+--?-+--
cg21960364,II,4,"185,398,007",F,,-0.0019,0.0007,-2.83,0.0047,3.9E-02,1,0,72.9%,---+-----+--+---
cg03104055,II,3,"75,705,922",R,,0.0023,0.0008,2.83,0.0047,3.9E-02,0,0,44.8%,+++++??+++-?++++
cg22979807,II,19,"55,837,197",F,TMEM150B,0.0019,0.0007,2.83,0.0047,3.9E-02,0,0,76.8%,++-++++++++++--+
cg04524040,II,19,"4,153,364",F,CREB3L3,0.0029,0.0010,2.83,0.0047,3.9E-02,0,0,66.8%,++-+?+++++-?+---
cg07504977,II,10,"102,131,012",R,,0.0035,0.0012,2.83,0.0047,3.9E-02,0,0,56.8%,+++++--+++++++++
cg02803604,II,6,"109,802,446",R,ZBTB24,-0.0011,0.0004,-2.83,0.0047,3.9E-02,0,0,59.3%,---------+----+-
cg22042546,II,1,"27,050,491",R,ARID1A,0.0020,0.0007,2.82,0.0047,3.9E-02,0,0,73.6%,+++-+-+-++++++++
cg11828621,I,3,"27,766,252",F,,-0.0018,0.0006,-2.82,0.0047,3.9E-02,0,0,66.3%,--+------+++-+--
cg03780701,I,8,"38,965,386",F,ADAM32,-0.0029,0.0010,-2.82,0.0048,3.9E-02,0,0,58.5%,--+--++--------+
cg13669080,II,9,"139,568,523",F,AGPAT2,0.0018,0.0006,2.82,0.0048,3.9E-02,0,0,54.7%,+++++-+--+++++++
cg23837265,II,10,"88,730,407",F,C10orf116;AGAP11,-0.0032,0.0011,-2.82,0.0048,3.9E-02,0,0,70.1%,----------++++--
cg18954900,II,12,"96,604,497",R,ELK3,-0.0033,0.0012,-2.82,0.0048,3.9E-02,0,0,79.0%,----?----+-+----
cg17593625,I,7,"752,800",F,PRKAR1B,0.0027,0.0010,2.82,0.0048,3.9E-02,1,0,68.4%,+++-+-+-+-+++--+
cg15995265,II,1,"111,764,857",F,,-0.0023,0.0008,-2.82,0.0048,3.9E-02,1,0,80.2%,---+-+---+-+----
cg00308065,II,12,"124,422,135",R,CCDC92,0.0020,0.0007,2.82,0.0048,3.9E-02,0,0,65.9%,+++++-++-+-+++++
cg27436995,I,16,"743,998",R,FBXL16,0.0085,0.0030,2.82,0.0048,3.9E-02,1,0,45.5%,++-++-+--++?+--+
cg08867399,II,2,"129,077,561",R,HS6ST1,-0.0059,0.0021,-2.82,0.0048,3.9E-02,0,0,66.6%,--+--+-----++---
cg08657654,II,7,"27,138,974",F,,-0.0033,0.0012,-2.82,0.0048,3.9E-02,0,0,55.6%,-+-+----+---+---
cg00007076,II,8,"67,342,600",F,RRS1,-0.0044,0.0015,-2.82,0.0048,3.9E-02,1,0,71.6%,---+------------
cg13182599,II,14,"69,282,992",F,,-0.0024,0.0008,-2.82,0.0048,3.9E-02,0,0,55.2%,-----+---+-+----
cg05896295,II,19,"41,812,492",R,HNRNPUL1,-0.0020,0.0007,-2.82,0.0048,4.0E-02,1,0,65.8%,-+-+---+-----+--
