Probe ID,Infinium Design Type,Chromosome,Location (hg19),Strand,Gene Symbol,Effect,Std. Error,Z-value,P-value,FDR,Previously Seen,Small Molecules,Sign
cg11183227,I,15,91455407,F,MAN2A2,0.0052,0.0017,3.13,0.0017,0.0463,0,0,++++++++-++-+-++
cg16021159,II,1,57142074,F,PRKAA2,-0.0017,0.0006,-3.13,0.0017,0.0463,0,0,----++---+------
cg22152796,II,12,57869941,F,ARHGAP9,0.0015,0.0005,3.13,0.0017,0.0463,0,0,++++++-++++++--+
cg11091012,II,8,134249790,R,NDRG1,0.0018,0.0006,3.13,0.0017,0.0463,0,0,++-+++++-++--+-+
cg07653946,II,18,18823249,R,GREB1L,0.0021,0.0007,3.13,0.0017,0.0463,0,0,++--+++--++-+-++
cg02772121,I,6,30130881,F,TRIM15,-0.0057,0.0018,-3.13,0.0017,0.0463,0,0,---+------+---+-
cg06531034,II,2,38766282,R,,0.0031,0.0010,3.13,0.0017,0.0464,0,0,++-+++++++--++--
cg07469815,II,2,174049232,F,ZAK,-0.0047,0.0015,-3.13,0.0017,0.0464,0,0,-?-+------------
cg27353721,II,6,32202748,R,,0.0046,0.0015,3.13,0.0017,0.0464,0,0,++--+??--++?-+++
cg15920975,II,11,65194933,R,,-0.0054,0.0017,-3.13,0.0017,0.0464,0,0,---+------+----+
cg22179082,II,13,27334259,F,GPR12,0.0030,0.0010,3.13,0.0017,0.0464,0,0,++++++--+-+-+--+
cg08708790,II,16,22176873,F,,-0.0041,0.0013,-3.13,0.0017,0.0464,0,0,---+---+-+-++---
cg21820873,I,11,64138719,R,RPS6KA4,-0.0045,0.0015,-3.13,0.0017,0.0464,0,0,--+--------+---+
cg02702477,II,5,179499311,R,RNF130,0.0012,0.0004,3.13,0.0017,0.0464,0,0,++++?-++-+-?+---
cg08761535,II,16,75079000,F,ZNRF1,-0.0024,0.0008,-3.13,0.0017,0.0464,0,0,-----+---++-----
cg04718447,I,16,85518989,R,,-0.0054,0.0017,-3.13,0.0017,0.0464,0,0,---+-------+-+--
cg23625823,II,4,183698078,F,ODZ3,0.0076,0.0024,3.13,0.0017,0.0464,0,0,+++++++-+++-++-+
cg07606234,II,14,24551147,F,NRL,-0.0044,0.0014,-3.13,0.0017,0.0464,0,0,---+--------++-+
cg18364858,II,14,103227298,F,,0.0049,0.0016,3.13,0.0017,0.0465,0,0,+++++++++++-+---
cg15176413,I,7,4764443,F,FOXK1,-0.0047,0.0015,-3.13,0.0017,0.0465,0,0,---+------+-----
cg22765178,II,2,106378429,R,NCK2,-0.0028,0.0009,-3.13,0.0017,0.0465,0,0,-----+++-+--+---
cg18164508,I,12,133235007,F,POLE,-0.0101,0.0032,-3.13,0.0017,0.0465,0,0,-+------?--+-++-
cg20264731,II,8,42195644,F,POLB,0.0010,0.0003,3.13,0.0017,0.0465,0,0,+-+-++++++++-+--
cg21558614,II,5,754184,F,,-0.0036,0.0011,-3.13,0.0017,0.0465,0,0,---+-+-+-+-?----
cg22442430,I,1,25876626,F,LDLRAP1,-0.0039,0.0013,-3.13,0.0017,0.0465,1,0,-------+--++---+
cg05757530,II,16,57038916,R,NLRC5,-0.0027,0.0009,-3.13,0.0017,0.0465,0,0,---+-++--+------
cg03677069,I,10,88718317,F,SNCG;MMRN2,-0.0055,0.0017,-3.13,0.0017,0.0465,0,0,--++-+----++-+--
cg03366850,II,7,28998595,R,TRIL,-0.0069,0.0022,-3.13,0.0017,0.0465,0,0,-+-+-------+----
cg20750832,I,5,170742345,F,,0.0038,0.0012,3.13,0.0017,0.0466,0,0,++--++--++++++++
cg20738719,II,3,122728088,R,SEMA5B,0.0070,0.0022,3.13,0.0017,0.0466,0,0,++-+?+-++++?---+
cg07584031,II,2,233416387,F,TIGD1;EIF4E2,0.0046,0.0015,3.13,0.0017,0.0466,0,0,++-+++++++-+++--
cg23499749,I,2,113345365,R,CHCHD5,0.0030,0.0010,3.13,0.0017,0.0466,0,0,++++++++--+-+---
cg20541344,II,17,79095182,F,AATK,-0.0034,0.0011,-3.13,0.0017,0.0466,0,0,---+-+---+-+----
cg27239754,II,11,66041303,F,RAB1B,0.0037,0.0012,3.13,0.0017,0.0466,0,0,++++++++++------
cg02046475,II,8,28047708,F,ELP3,0.0051,0.0016,3.13,0.0017,0.0466,0,0,+-+-+++++++++--+
cg00292701,II,4,10463590,R,,0.0025,0.0008,3.13,0.0017,0.0466,0,0,+++++++---+-+-++
cg07303829,II,22,50799746,F,SAPS2,-0.0025,0.0008,-3.13,0.0017,0.0466,0,0,---+-+------++--
cg15478401,II,2,8809556,F,,-0.0018,0.0006,-3.13,0.0017,0.0466,0,0,---+-++--+------
cg11841522,II,2,220348592,R,SPEG,-0.0041,0.0013,-3.13,0.0017,0.0466,1,0,--+------+------
cg08255475,I,16,88871329,R,CDT1,-0.0067,0.0021,-3.13,0.0017,0.0466,0,0,---+-+-----+----
cg09524946,II,13,50706810,R,,-0.0020,0.0006,-3.13,0.0017,0.0466,0,0,--------+-+--+++
cg05380808,II,1,210820877,R,HHAT,0.0025,0.0008,3.13,0.0017,0.0466,0,0,+++++-+++++-++--
cg21585162,II,11,128566387,F,FLI1,-0.0051,0.0016,-3.13,0.0018,0.0466,0,0,---+?-----+-----
cg17163751,II,10,71812596,F,H2AFY2,0.0012,0.0004,3.13,0.0018,0.0466,0,0,++++-+-+++++++++
cg12427321,II,1,56943668,F,,0.0017,0.0005,3.13,0.0018,0.0466,0,0,++--+++++++-+-++
cg13630739,I,7,138413421,R,ATP6V0A4,-0.0022,0.0007,-3.13,0.0018,0.0466,0,0,-+-+-+-------+--
cg02340818,II,8,145808436,F,KIAA1688,0.0040,0.0013,3.13,0.0018,0.0466,1,0,-++-++-++++++-++
cg14099514,II,5,41510519,F,PLCXD3,0.0033,0.0010,3.13,0.0018,0.0466,0,0,+++++++-++-+++++
cg10817441,II,6,32823728,R,PSMB9,-0.0052,0.0017,-3.13,0.0018,0.0466,0,0,---+-----+++-+--
cg07798560,II,2,189734507,F,,-0.0026,0.0008,-3.13,0.0018,0.0466,0,0,------+-+++--+--
cg16081388,I,17,60215342,F,,0.0027,0.0009,3.13,0.0018,0.0466,0,0,+++++++-+++?-+-+
cg07546433,II,8,102063914,F,,-0.0024,0.0008,-3.13,0.0018,0.0466,0,0,--+----+-+-+-+--
cg17804112,I,19,55417496,F,NCR1,0.0068,0.0022,3.13,0.0018,0.0467,0,0,++-++++++-+++---
cg01960979,II,16,1611342,F,IFT140,-0.0034,0.0011,-3.13,0.0018,0.0467,0,0,-------------++-
cg19769147,I,14,105860954,R,PACS2,0.0045,0.0014,3.13,0.0018,0.0467,1,0,++++++++--++++-+
cg18739061,II,19,15121385,F,CCDC105,-0.0106,0.0034,-3.13,0.0018,0.0467,0,0,--++?----+-?---+
cg23735745,II,1,230248121,R,GALNT2,0.0042,0.0013,3.13,0.0018,0.0467,1,0,+++++++++-+-++++
cg26403608,II,17,2319719,R,LOC284009;METT10D,-0.0059,0.0019,-3.13,0.0018,0.0467,0,0,---+-----+---+--
cg20631820,I,13,95086158,F,,-0.0058,0.0018,-3.13,0.0018,0.0467,0,0,--++---------++-
cg01413354,II,9,136017755,R,RALGDS,-0.0060,0.0019,-3.13,0.0018,0.0467,1,0,---+-----+---+--
cg18050844,I,17,44909987,F,,-0.0038,0.0012,-3.13,0.0018,0.0467,0,0,-----------++---
cg27665580,II,5,1065465,R,SLC12A7,-0.0019,0.0006,-3.13,0.0018,0.0467,1,0,---+-+-+-----++-
cg01973394,II,15,82335947,R,MEX3B,-0.0038,0.0012,-3.13,0.0018,0.0467,0,0,-----+---++-----
cg09365002,I,6,33288329,F,DAXX,-0.0028,0.0009,-3.13,0.0018,0.0467,1,0,---+-+--------+-
cg02247430,II,14,53258644,R,GNPNAT1,-0.0050,0.0016,-3.13,0.0018,0.0467,0,0,----------+----+
cg03998792,II,11,120011770,F,,-0.0036,0.0011,-3.13,0.0018,0.0467,0,0,-----+---+---+++
cg18487309,I,5,179333932,R,TBC1D9B,-0.0041,0.0013,-3.13,0.0018,0.0467,0,0,-----------+++--
cg15322516,II,14,104145810,R,KLC1,0.0027,0.0008,3.13,0.0018,0.0467,0,0,+-++++++++++++-+
cg12298872,II,1,228352449,F,C1orf69,0.0049,0.0016,3.13,0.0018,0.0467,0,0,++--++++-++++-++
cg03107393,II,17,46692553,R,HOXB8,-0.0033,0.0011,-3.13,0.0018,0.0467,0,0,---+----+---+-+-
cg01028457,II,3,152878518,F,,0.0009,0.0003,3.13,0.0018,0.0467,0,0,++++++++++----++
cg01089751,II,22,39378425,F,APOBEC3B,-0.0020,0.0006,-3.13,0.0018,0.0467,0,0,---+---+---?----
cg13361558,I,11,73359962,R,PLEKHB1,-0.0039,0.0013,-3.13,0.0018,0.0467,0,0,-----------+-+-+
cg11566975,II,3,49170849,F,LAMB2,-0.0058,0.0019,-3.13,0.0018,0.0467,0,0,---+--+----+-+-+
cg03330485,II,8,21647596,F,GFRA2,0.0022,0.0007,3.13,0.0018,0.0467,0,0,++--+++++++?+--+
cg01140985,II,16,71843559,R,AP1G1,-0.0064,0.0020,-3.13,0.0018,0.0467,0,0,---+-+---+---+-+
cg06297391,I,16,616827,R,NHLRC4,-0.0021,0.0007,-3.13,0.0018,0.0468,0,0,--+----+--++----
cg27459121,II,16,1757247,R,MAPK8IP3,-0.0027,0.0009,-3.13,0.0018,0.0468,0,0,---+-+-----+----
cg11670060,II,5,145316416,F,SH3RF2,-0.0052,0.0017,-3.13,0.0018,0.0468,0,0,---+------+--+--
cg01181307,I,14,105714379,F,BRF1;BTBD6,-0.0023,0.0007,-3.13,0.0018,0.0468,0,0,----+---+-+--++-
cg10836912,II,11,134526975,R,,0.0033,0.0010,3.13,0.0018,0.0468,0,0,+++-+??++++?+-++
cg12287945,II,19,35758300,R,LSR,-0.0064,0.0021,-3.13,0.0018,0.0468,0,0,---+?+--+--?----
cg17107867,II,1,153522407,R,S100A3,-0.0025,0.0008,-3.13,0.0018,0.0468,0,0,-----+---+++----
cg18064706,I,7,157646656,F,PTPRN2,0.0010,0.0003,3.13,0.0018,0.0468,1,0,-++++-+-+-+++--+
cg24047802,II,1,223936343,R,CAPN2,-0.0074,0.0024,-3.13,0.0018,0.0468,0,0,---+-+--?+-+-+--
cg05031016,II,14,24804153,R,ADCY4,0.0025,0.0008,3.13,0.0018,0.0468,0,0,+++-+++++++?++++
cg06596943,II,6,901264,F,,0.0025,0.0008,3.13,0.0018,0.0468,0,0,-++++-++++++-+++
cg24347323,II,1,63664613,F,,-0.0035,0.0011,-3.13,0.0018,0.0468,0,0,---+???+++--?+++
cg24104627,I,2,52006728,F,,0.0017,0.0005,3.13,0.0018,0.0468,0,0,+++++++---+?++-+
cg27180671,II,17,65527566,F,PITPNC1,0.0043,0.0014,3.13,0.0018,0.0469,0,0,++++++++++-+++--
cg20442232,II,5,134465552,R,,0.0027,0.0009,3.13,0.0018,0.0469,0,0,++-++-+-++-+++++
cg18919097,II,3,161090798,R,C3orf57,0.0032,0.0010,3.13,0.0018,0.0469,0,0,++++++----+?+-++
cg07038400,II,3,135684163,F,PPP2R3A,0.0041,0.0013,3.13,0.0018,0.0469,0,0,++-++++++++-++-+
cg15344854,II,4,95128661,R,SMARCAD1,0.0019,0.0006,3.13,0.0018,0.0469,1,0,++++?++-+-++-+-+
cg13436378,II,2,71832543,R,DYSF,-0.0036,0.0012,-3.13,0.0018,0.0469,0,0,--+--------?+---
cg10996589,II,12,125017134,F,NCOR2,0.0066,0.0021,3.13,0.0018,0.0469,1,0,+++++-+++++-++++
cg23843414,I,1,8484310,F,RERE,0.0009,0.0003,3.13,0.0018,0.0469,0,0,+++++-+++-+---++
cg25640892,II,6,84743294,R,MRAP2,0.0014,0.0004,3.13,0.0018,0.0469,0,0,++--+-++++++++++
cg00627029,I,17,72322791,F,KIF19,-0.0055,0.0018,-3.13,0.0018,0.0469,0,0,---+-+-----+++--
cg26618903,II,10,100175079,R,PYROXD2,0.0022,0.0007,3.13,0.0018,0.0469,0,0,+++++-+++-+?-+-+
cg05475386,II,12,65723693,R,MSRB3,0.0041,0.0013,3.13,0.0018,0.0469,1,0,++-+???+?+++?+++
cg03950166,II,15,80988613,R,FAM108C1,0.0012,0.0004,3.13,0.0018,0.0469,0,0,++-+?++++++?---+
cg05418333,II,7,101556183,F,CUX1,0.0018,0.0006,3.13,0.0018,0.0469,1,0,++++-+++++++-+-+
cg20032789,I,10,30336565,F,KIAA1462,-0.0016,0.0005,-3.13,0.0018,0.0469,0,0,-?-??++-??----+-
cg07417218,I,2,242255421,R,SEPT2;HDLBP,-0.0006,0.0002,-3.13,0.0018,0.0469,0,0,---+?-----+?++--
cg15160801,II,1,153330399,R,S100A9,0.0023,0.0007,3.13,0.0018,0.0469,1,0,++-++++++-+++-++
cg18219160,II,12,120755827,R,,0.0041,0.0013,3.13,0.0018,0.0469,0,0,++-+++++-++-+--+
cg07251872,II,6,41169918,R,TREML2,0.0026,0.0008,3.13,0.0018,0.0469,0,0,++-++-++-++-++-+
cg26934362,II,5,1519265,F,LPCAT1,0.0097,0.0031,3.13,0.0018,0.0470,1,0,++-++++++++--++-
cg01225238,II,7,29040181,R,CPVL,0.0046,0.0015,3.13,0.0018,0.0470,0,0,++-+++++++-++-++
cg11140086,I,12,49783072,R,SPATS2,-0.0044,0.0014,-3.13,0.0018,0.0470,0,0,------+------+-+
cg07461273,II,7,99697172,R,MCM7,-0.0054,0.0017,-3.13,0.0018,0.0470,0,0,---------+--+--+
cg05786278,II,2,1998294,R,MYT1L,0.0022,0.0007,3.13,0.0018,0.0470,0,0,++++++-+++-?-+++
cg07631681,I,16,410001,F,,-0.0019,0.0006,-3.13,0.0018,0.0470,0,0,----+-++-----+--
cg17863912,II,2,176994362,R,HOXD8,0.0030,0.0010,3.13,0.0018,0.0470,0,0,++--+++++++++--+
cg20162696,II,8,102167694,R,,0.0038,0.0012,3.13,0.0018,0.0470,0,0,++-++++++++-+-++
cg02014416,II,1,231376203,R,GNPAT;C1orf131,-0.0055,0.0017,-3.13,0.0018,0.0470,0,0,---+-+---+------
cg10145533,II,8,20350779,F,,0.0032,0.0010,3.13,0.0018,0.0470,0,0,++--++++++++++++
cg17393635,I,19,49843565,R,CD37,-0.0047,0.0015,-3.13,0.0018,0.0470,0,0,-+-----+---+----
cg23909633,II,1,207070539,F,IL24,-0.0039,0.0012,-3.13,0.0018,0.0470,0,0,-------+-+++----
cg14677013,I,8,75512167,R,,0.0020,0.0006,3.13,0.0018,0.0470,0,0,+++-+-+---+?-+-+
cg07164606,II,2,119698672,F,MARCO,0.0027,0.0009,3.13,0.0018,0.0470,0,0,++-+-+-+-+++++++
cg26140911,II,6,33399151,R,SYNGAP1,0.0015,0.0005,3.13,0.0018,0.0470,1,0,+++-++++++++++++
cg03297163,I,7,2548137,F,,0.0035,0.0011,3.13,0.0018,0.0470,0,0,+++++++++++++-+-
cg09055519,II,11,1918755,R,,-0.0046,0.0015,-3.13,0.0018,0.0471,0,0,--+--+----+----+
cg06796885,II,13,37202570,F,,-0.0024,0.0008,-3.13,0.0018,0.0471,0,0,---+-??+-----+-+
cg24789335,II,8,144400067,F,TOP1MT,-0.0027,0.0009,-3.13,0.0018,0.0471,0,0,---+-+-+---?-+-+
cg19766578,II,2,201677983,R,BZW1,-0.0051,0.0016,-3.12,0.0018,0.0471,1,0,----?++--+-+-+--
cg11214576,II,1,25869068,F,LDLRAP1,-0.0021,0.0007,-3.12,0.0018,0.0471,1,0,-+-+-++--+------
cg16060369,I,10,43698834,R,RASGEF1A,-0.0045,0.0015,-3.12,0.0018,0.0471,0,0,---------+-+---+
cg16236263,II,6,32908605,R,HLA-DMB,-0.0021,0.0007,-3.12,0.0018,0.0471,1,0,-----+--+--+----
cg07229186,I,16,56666575,F,MT1M,0.0014,0.0004,3.12,0.0018,0.0471,0,0,+++-+--+-++++-++
cg14269021,I,17,80894218,R,TBCD,-0.0020,0.0006,-3.12,0.0018,0.0471,1,0,-----+++---++-+-
cg20329210,I,1,228566080,R,OBSCN,-0.0075,0.0024,-3.12,0.0018,0.0471,0,0,--++-------+----
cg02886589,I,2,39892450,R,TMEM178,-0.0065,0.0021,-3.12,0.0018,0.0471,0,0,-+-+--------+---
cg07648709,II,11,73043675,R,ARHGEF17,-0.0030,0.0009,-3.12,0.0018,0.0471,0,0,-------+-+----++
cg24198059,II,6,27839751,F,HIST1H3I,-0.0015,0.0005,-3.12,0.0018,0.0471,0,0,--------++-?+--+
cg19053889,II,7,1098703,R,C7orf50;GPR146,-0.0060,0.0019,-3.12,0.0018,0.0472,1,0,--+-----+--+-+--
cg02354658,II,5,95151391,F,GLRX,0.0072,0.0023,3.12,0.0018,0.0472,0,0,+++-+++++-+-+--+
cg05862885,II,7,1513215,F,INTS1,-0.0030,0.0010,-3.12,0.0018,0.0472,1,0,--+------+-+-+--
cg06173509,II,7,3084077,F,CARD11,-0.0025,0.0008,-3.12,0.0018,0.0472,1,0,-----+---+-+-+--
cg22384356,II,8,124195192,R,FAM83A,0.0112,0.0036,3.12,0.0018,0.0472,0,0,++-++-+++++-+++-
cg20759281,II,12,21796914,R,LDHB,-0.0069,0.0022,-3.12,0.0018,0.0472,0,0,----???+--++----
cg24968283,II,21,44253611,F,,0.0017,0.0005,3.12,0.0018,0.0472,0,0,+++++-++++----++
cg04450052,II,6,170525426,F,,-0.0045,0.0014,-3.12,0.0018,0.0472,0,0,-------+++-+----
cg06802630,I,5,322735,F,AHRR,0.0105,0.0034,3.12,0.0018,0.0472,1,0,+++-+--++++-++-+
cg18978531,II,15,70403809,F,,-0.0044,0.0014,-3.12,0.0018,0.0472,0,0,---+---+-----+--
cg03171646,II,6,122720484,F,HSF2,0.0015,0.0005,3.12,0.0018,0.0472,0,0,++++++++++++-+-+
cg27403406,I,20,48325721,R,B4GALT5,-0.0085,0.0027,-3.12,0.0018,0.0472,0,0,---+?+-+-?------
cg26572207,II,8,20161947,F,,0.0050,0.0016,3.12,0.0018,0.0473,0,0,++++++-+-++?+-++
cg05089897,II,21,38886664,F,DYRK1A,0.0051,0.0016,3.12,0.0018,0.0473,0,0,++-++++++--++--+
cg00250500,I,10,77169599,R,,0.0027,0.0009,3.12,0.0018,0.0473,0,0,+?--+---+-+-++-+
cg16252905,II,1,1150936,F,TNFRSF4,-0.0038,0.0012,-3.12,0.0018,0.0473,0,0,-------+-+-+-+--
cg25001003,II,8,101859876,F,,0.0029,0.0009,3.12,0.0018,0.0473,0,0,+-+-++++-++?++++
cg15802263,II,19,54515245,R,CACNG6,0.0061,0.0019,3.12,0.0018,0.0473,0,0,++--+++-+++++--+
cg02356218,II,11,124352048,R,,-0.0066,0.0021,-3.12,0.0018,0.0473,0,0,--+---+---------
cg01720228,II,17,4486934,R,SMTNL2,0.0027,0.0009,3.12,0.0018,0.0473,0,0,++--+++++-++-+--
cg01939428,II,7,156931170,R,UBE3C,-0.0115,0.0037,-3.12,0.0018,0.0473,0,0,---+-----+-?+++-
cg16689434,II,16,90089547,R,GAS8,-0.0054,0.0017,-3.12,0.0018,0.0473,0,0,-----+---+---+--
cg12194336,II,3,58067906,F,FLNB,0.0032,0.0010,3.12,0.0018,0.0473,0,0,+-+++-+-+-++++++
cg17165055,II,3,192584827,R,C3orf59,0.0013,0.0004,3.12,0.0018,0.0473,0,0,+++-+-++++-+++++
cg24828683,I,6,29856210,R,HLA-H,-0.0022,0.0007,-3.12,0.0018,0.0473,0,0,--+---+----?+-+-
cg18031239,II,6,32918419,R,HLA-DMA,-0.0020,0.0006,-3.12,0.0018,0.0473,0,0,------++-+-++---
cg17871993,II,7,65673056,R,TPST1,0.0053,0.0017,3.12,0.0018,0.0473,1,0,++-+++-++++-++++
cg21757872,I,12,107974453,R,BTBD11,-0.0038,0.0012,-3.12,0.0018,0.0473,1,0,------+----+-+--
cg27110548,I,11,63707354,F,NAA40,-0.0039,0.0012,-3.12,0.0018,0.0473,0,0,+--+-------+-+--
cg17094249,II,1,24867657,F,,-0.0086,0.0028,-3.12,0.0018,0.0473,0,0,----???---++-+--
cg02310296,II,20,44637358,R,MMP9,0.0034,0.0011,3.12,0.0018,0.0473,1,0,+++++++++--++---
cg13696706,II,9,124396830,R,DAB2IP,0.0038,0.0012,3.12,0.0018,0.0473,0,0,++--+++++++++--+
cg26654790,I,17,33775475,F,SLFN13,0.0008,0.0003,3.12,0.0018,0.0473,1,0,+-++-+++++++--+-
cg09696121,II,15,84048104,F,,0.0026,0.0008,3.12,0.0018,0.0473,0,0,++-++++-+++-+-++
cg06417962,II,11,507970,F,RNH1,-0.0051,0.0016,-3.12,0.0018,0.0473,0,0,--+------+-+-+--
cg06638795,I,2,42719933,R,KCNG3,0.0044,0.0014,3.12,0.0018,0.0473,0,0,++++++-+--++++++
cg06401979,II,7,27143717,R,HOXA2,-0.0080,0.0026,-3.12,0.0018,0.0473,0,0,----+-----------
cg25291355,I,19,10402167,R,ICAM5,-0.0010,0.0003,-3.12,0.0018,0.0474,0,0,--+-?--+---?-+--
cg18879828,II,11,46942432,F,,-0.0056,0.0018,-3.12,0.0018,0.0474,0,0,---+-+---+-+----
cg05564552,II,15,42120091,R,JMJD7;JMJD7-PLA2G4B,0.0012,0.0004,3.12,0.0018,0.0474,0,0,+-+-+++++++-++++
cg10094616,I,8,53478023,R,FAM150A,0.0020,0.0006,3.12,0.0018,0.0474,0,0,+++-+++---+-+-++
cg01596834,II,3,183993711,R,ECE2,0.0035,0.0011,3.12,0.0018,0.0474,0,0,++++++++++-+++++
cg00328729,II,11,45231175,R,PRDM11,-0.0036,0.0011,-3.12,0.0018,0.0474,0,0,-+-+-------+-+-+
cg16471167,II,16,88079739,F,BANP,0.0028,0.0009,3.12,0.0018,0.0474,0,0,+++-+--++++++--+
cg00206463,II,6,30179435,R,TRIM26,-0.0044,0.0014,-3.12,0.0018,0.0474,1,0,---+?--+---?----
cg10195726,II,16,88538355,R,ZFPM1,-0.0022,0.0007,-3.12,0.0018,0.0474,0,0,------++-+-+++--
cg05681076,II,5,175066987,F,,0.0028,0.0009,3.12,0.0018,0.0474,0,0,++++-+++++++++++
cg04820159,II,14,105251188,F,AKT1,-0.0053,0.0017,-3.12,0.0018,0.0474,1,0,---------+-?-+--
cg15162219,II,8,29952246,F,LEPROTL1,-0.0035,0.0011,-3.12,0.0018,0.0475,0,0,+--------+-+-+-+
cg02289339,I,10,75936278,R,ADK,-0.0007,0.0002,-3.12,0.0018,0.0475,0,0,--------+-------
cg05003422,I,1,85513889,F,MCOLN3,-0.0010,0.0003,-3.12,0.0018,0.0475,0,0,--+----+---++-+-
cg24184689,II,15,74723271,R,SEMA7A,-0.0032,0.0010,-3.12,0.0018,0.0475,1,0,-----+-----++-+-
cg17418387,II,1,17761802,F,RCC2,0.0043,0.0014,3.12,0.0018,0.0475,0,0,++-+++++++--+--+
cg26899005,I,X,153213140,R,HCFC1,-0.0058,0.0019,-3.12,0.0018,0.0475,0,0,-----??-??-+----
cg19687985,I,6,43478500,F,C6orf154,-0.0058,0.0019,-3.12,0.0018,0.0475,0,0,--+--------++---
cg07042289,II,10,90692494,F,,-0.0033,0.0010,-3.12,0.0018,0.0475,0,0,---+-----+------
cg00927777,II,17,1960199,R,HIC1,0.0036,0.0011,3.12,0.0018,0.0475,1,0,+++-+++-+++++-++
cg21661344,I,19,632827,F,POLRMT,-0.0017,0.0006,-3.12,0.0018,0.0475,1,0,------++---+-+--
cg22874893,I,6,17281624,R,RBM24,0.0017,0.0005,3.12,0.0018,0.0475,0,0,+++-+-++-++++-++
cg19418284,I,22,42343099,F,CENPM,0.0006,0.0002,3.12,0.0018,0.0475,0,0,++-+++++++++++++
cg13060970,I,2,68592349,F,PLEK,0.0099,0.0032,3.12,0.0018,0.0475,1,0,++++++++++++++-+
cg25791620,II,17,1472984,R,,-0.0013,0.0004,-3.12,0.0018,0.0475,0,0,-------+-+-++-+-
cg07869232,II,13,114790349,R,RASA3,0.0050,0.0016,3.12,0.0018,0.0475,1,0,++++++++-++++---
cg25079544,II,17,71308681,F,CDC42EP4,0.0022,0.0007,3.12,0.0018,0.0475,0,0,+++++++++-+++-++
cg21482659,II,7,82073453,F,CACNA2D1,0.0022,0.0007,3.12,0.0018,0.0475,0,0,+++-+++++++-+-++
cg22587479,I,2,219738226,F,WNT6,0.0060,0.0019,3.12,0.0018,0.0475,0,0,-++++++++-+-+-++
cg12143499,II,12,27615389,R,,-0.0027,0.0009,-3.12,0.0018,0.0475,0,0,---+-??---+-----
cg16209664,II,3,147131146,R,ZIC1,0.0025,0.0008,3.12,0.0018,0.0475,0,0,++--++++++-++--+
cg15266205,II,12,15749418,F,PTPRO,-0.0110,0.0035,-3.12,0.0018,0.0475,0,0,---+----------+-
cg05036173,II,2,108994528,R,SULT1C4,0.0042,0.0013,3.12,0.0018,0.0475,0,0,+?-+++++?+--++++
cg26572992,I,19,18876246,F,CRTC1,0.0029,0.0009,3.12,0.0018,0.0475,1,0,++-+?++++++?+-++
cg18323210,II,1,166944395,F,ILDR2,0.0021,0.0007,3.12,0.0018,0.0475,0,0,+++-+-++++++++++
cg16235582,II,11,78673212,F,ODZ4,0.0025,0.0008,3.12,0.0018,0.0476,1,0,+++-++-++-+++--+
cg27314324,I,1,112476724,F,KCND3,-0.0018,0.0006,-3.12,0.0018,0.0476,0,0,--+--+----------
cg04015687,II,5,16510489,F,FAM134B,0.0026,0.0008,3.12,0.0018,0.0476,0,0,+++-+-++++++--++
cg16317923,II,5,169816472,R,KCNIP1;KCNMB1,0.0037,0.0012,3.12,0.0018,0.0476,0,0,++-++++++++++-++
cg19291696,II,13,27769437,R,,-0.0034,0.0011,-3.12,0.0018,0.0476,0,0,---+-+++-+------
cg09706245,II,3,16537879,R,RFTN1,-0.0041,0.0013,-3.12,0.0018,0.0476,0,0,-----+---+--++--
cg06341779,II,4,109088043,R,LEF1;LOC641518,-0.0017,0.0005,-3.12,0.0018,0.0476,1,0,-------+-+-++---
cg06987616,II,10,61122480,F,FAM13C,0.0012,0.0004,3.12,0.0018,0.0476,0,0,+++-+--++++++-++
cg06410273,II,21,46720677,R,,-0.0036,0.0011,-3.12,0.0018,0.0476,0,0,---------?+--+--
cg00400126,II,5,10222193,R,,0.0015,0.0005,3.12,0.0018,0.0476,0,0,++--+++-++++--++
cg06981781,II,4,110842888,F,EGF,0.0030,0.0009,3.12,0.0018,0.0476,0,0,+++++++++++++--+
cg01543184,I,17,79881543,F,MAFG,0.0040,0.0013,3.12,0.0018,0.0476,1,0,+++++++++-+-++++
cg03853945,II,13,84024017,F,,-0.0077,0.0025,-3.12,0.0018,0.0476,0,0,---+?----+------
cg07239716,II,12,89744488,F,DUSP6,0.0054,0.0017,3.12,0.0018,0.0476,1,0,+-+++++++-+-++++
cg20421058,I,4,7337225,F,SORCS2,-0.0056,0.0018,-3.12,0.0018,0.0476,0,0,---+----------++
cg10096929,I,1,156261403,F,TMEM79,0.0052,0.0017,3.12,0.0018,0.0476,0,0,++-++++++++-+-++
cg19570155,II,2,36765605,R,CRIM1,0.0035,0.0011,3.12,0.0018,0.0476,0,0,+++++-+-++++++++
cg00732251,II,6,99276866,F,,-0.0046,0.0015,-3.12,0.0018,0.0476,0,0,---+-----+-+----
cg19998328,II,19,11038320,F,YIPF2;C19orf52,-0.0035,0.0011,-3.12,0.0018,0.0476,0,0,-----+---+-+----
cg08209711,II,6,32825499,R,PSMB9,-0.0047,0.0015,-3.12,0.0018,0.0476,0,0,---+-----+-++---
cg24825210,II,11,60552755,F,MS4A10,-0.0029,0.0009,-3.12,0.0018,0.0476,0,0,-+-----+-+-+----
cg03856801,II,11,116709138,R,APOA1,0.0012,0.0004,3.12,0.0018,0.0476,0,0,++-++-+-+++-++-+
